domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
airport,equipment_services,deicing_crew,deicing_crew_id,deicing_crew_id,Deicing Crew Identifier,BIGINT,Y,,,,master_data,Primary key for deicing_crew,
airport,equipment_services,deicing_crew,home_station_id,home_station_id,Home Station Id (Foreign Key),BIGINT,,airport.station.station_id,,,master_data,"Foreign key linking to airport.station. Business justification: De-icing crews are based at specific airport stations. The deicing_crew table currently has home_station_code as a STRING denormalized attribute, but no FK to station. Adding home_station_id normalize",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_crew,relieved_deicing_crew_id,relieved_deicing_crew_id,,BIGINT,,airport.deicing_crew.deicing_crew_id,self_ref_fk,,master_data,Self-referencing FK on deicing_crew (relieved_deicing_crew_id),
airport,equipment_services,deicing_crew,aircraft_type_qualified,aircraft_type_qualified,,STRING,,,,,master_data,"Comma-separated list of aircraft types this crew is qualified to service (e.g., 'B737, A320, B777, A350').",
airport,equipment_services,deicing_crew,average_turnaround_time_minutes,average_turnaround_time_minutes,,"DECIMAL(10,2)",,,,,master_data,Historical average time in minutes this crew takes to complete a standard deicing operation.,
airport,equipment_services,deicing_crew,cdm_participant,cdm_participant,,BOOLEAN,,,,,master_data,Indicates whether this crew participates in Airport Collaborative Decision Making (A-CDM) processes for coordinated deicing operations.,
airport,equipment_services,deicing_crew,certification_expiry_date,certification_expiry_date,,DATE,,,,,master_data,Date when the crew's current deicing certification expires and recertification is required.,
airport,equipment_services,deicing_crew,certification_level,certification_level,,STRING,,,,,master_data,Qualification level of the deicing crew indicating training completion and operational authorization for different aircraft types and deicing procedures.,
airport,equipment_services,deicing_crew,contact_email,contact_email,,STRING,,,"confidential,pii_email",,master_data,Primary email address for operational communication with the deicing crew or supervisor.,
airport,equipment_services,deicing_crew,contact_phone,contact_phone,,STRING,,,"confidential,pii_phone",,master_data,Primary contact phone number for reaching the deicing crew supervisor or dispatch coordinator.,
airport,equipment_services,deicing_crew,contract_end_date,contract_end_date,,DATE,,,,,master_data,"End date of the service contract for contractor crews, or null for permanent internal crews.",
airport,equipment_services,deicing_crew,contract_start_date,contract_start_date,,DATE,,,,,master_data,"Start date of the service contract for contractor crews, or employment start date for internal crews.",
airport,equipment_services,deicing_crew,contractor_company_name,contractor_company_name,,STRING,,,,,master_data,"Name of the third-party contractor company providing this deicing crew, if applicable (null for internal crews).",
airport,equipment_services,deicing_crew,cost_per_hour,cost_per_hour,,"DECIMAL(10,2)",,,confidential,,master_data,"Hourly cost rate for deploying this deicing crew, including labor, equipment, and overhead (in base currency).",
airport,equipment_services,deicing_crew,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when this deicing crew record was first created in the system.,
airport,equipment_services,deicing_crew,crew_code,crew_code,,STRING,,,,,master_data,Externally-known unique alphanumeric code identifying the deicing crew for operational reference and scheduling systems.,
airport,equipment_services,deicing_crew,crew_name,crew_name,,STRING,,,,,master_data,"Human-readable name or designation of the deicing crew (e.g., 'Alpha Deicing Team', 'Night Shift Crew 3').",
airport,equipment_services,deicing_crew,crew_size,crew_size,,INT,,,,,master_data,Number of personnel assigned to this deicing crew.,
airport,equipment_services,deicing_crew,crew_status,crew_status,,STRING,,,,,master_data,Current operational status of the deicing crew indicating availability and lifecycle state.,
airport,equipment_services,deicing_crew,crew_type,crew_type,,STRING,,,,,master_data,"Classification of the deicing crew based on employment and operational model (internal airline staff, third-party contractor, hybrid, seasonal, emergency response, or standby).",
airport,equipment_services,deicing_crew,currency_code,currency_code,,STRING,,,,,master_data,"Three-letter ISO 4217 currency code for cost and financial fields (e.g., 'USD', 'EUR', 'GBP').",
airport,equipment_services,deicing_crew,effective_from_date,effective_from_date,,DATE,,,,,master_data,Date from which this crew record becomes active and valid for operational use.,
airport,equipment_services,deicing_crew,effective_to_date,effective_to_date,,DATE,,,,,master_data,Date until which this crew record remains active; null indicates open-ended validity.,
airport,equipment_services,deicing_crew,emergency_response_capable,emergency_response_capable,,BOOLEAN,,,,,master_data,Indicates whether this crew is trained and equipped for emergency deicing operations during severe weather events.,
airport,equipment_services,deicing_crew,equipment_assigned,equipment_assigned,,STRING,,,,,master_data,"Comma-separated list or description of ground support equipment (GSE) and deicing vehicles assigned to this crew (e.g., 'Type I truck, Type IV truck, bucket lift').",
airport,equipment_services,deicing_crew,fluid_type_authorized,fluid_type_authorized,,STRING,,,,,master_data,"Types of deicing and anti-icing fluids this crew is certified to apply (e.g., 'Type I, Type II, Type IV' per AMS 1424/1428 standards).",
airport,equipment_services,deicing_crew,language_proficiency,language_proficiency,,STRING,,,,,master_data,"Languages spoken by crew members for communication with flight crew and ground operations (e.g., 'English, French, Spanish').",
airport,equipment_services,deicing_crew,last_modified_timestamp,last_modified_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when this deicing crew record was last updated or modified.,
airport,equipment_services,deicing_crew,last_training_date,last_training_date,,DATE,,,,,master_data,Date of the most recent training session completed by this deicing crew.,
airport,equipment_services,deicing_crew,next_training_date,next_training_date,,DATE,,,,,master_data,Scheduled date for the next mandatory training or recertification session.,
airport,equipment_services,deicing_crew,notes,notes,,STRING,,,,,master_data,"Free-text field for additional operational notes, special instructions, or crew-specific information.",
airport,equipment_services,deicing_crew,operational_hours_capacity,operational_hours_capacity,,"DECIMAL(10,2)",,,,,master_data,"Maximum number of operational hours this crew can work per shift or per day, based on regulatory and safety limits.",
airport,equipment_services,deicing_crew,performance_rating,performance_rating,,STRING,,,,,master_data,"Overall performance rating of the deicing crew based on operational efficiency, safety record, and quality metrics.",
airport,equipment_services,deicing_crew,safety_incident_count,safety_incident_count,,INT,,,,,master_data,Cumulative count of safety incidents or violations recorded for this crew since activation.,
airport,equipment_services,deicing_crew,shift_pattern,shift_pattern,,STRING,,,,,master_data,"Work schedule pattern assigned to the deicing crew (day shift, night shift, rotating shifts, on-call, or continuous 24x7 coverage).",
airport,equipment_services,deicing_crew,supervisor_name,supervisor_name,,STRING,,,,,master_data,Full name of the supervisor or crew lead responsible for this deicing crew.,
airport,equipment_services,deicing_event,deicing_event_id,deicing_event_id,De-icing Event ID,BIGINT,Y,,,,transactional_data,Unique identifier for the de-icing or anti-icing treatment event. Primary key.,Internal System Standard
airport,equipment_services,deicing_event,accounts_payable_id,accounts_payable_id,Accounts Payable Id (Foreign Key),BIGINT,,finance.accounts_payable.accounts_payable_id,,,transactional_data,"Foreign key linking to finance.accounts_payable. Business justification: Deicing vendor invoices are processed through AP for payment settlement. Airlines must match deicing events to vendor invoices for cost verification, dispute resolution, and seasonal winter operations",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,aircraft_id,aircraft_id,Aircraft Id (Foreign Key),BIGINT,,fleet.aircraft.aircraft_id,,,transactional_data,"Foreign key linking to fleet.aircraft. Business justification: Deicing cost allocation, holdover time compliance tracking, and aircraft-specific fluid type requirements require aircraft linkage. Regulatory reporting and winter operations analysis depend on accura",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,deicing_crew_id,deicing_crew_id,De-icing Crew ID,BIGINT,,airport.deicing_crew.deicing_crew_id,,,transactional_data,Identifier for the ground crew or team that performed the de-icing treatment. Used for quality tracking and training purposes.,Airport Ground Operations Standards
airport,equipment_services,deicing_event,flight_leg_id,flight_leg_id,Flight ID,BIGINT,,flight.flight_leg.flight_leg_id,,,transactional_data,Reference to the flight receiving de-icing treatment. Links to the scheduled or operational flight record.,IATA Flight Operations Standards
airport,equipment_services,deicing_event,gate_assignment_id,gate_assignment_id,Gate Assignment Id (Foreign Key),BIGINT,,airport.gate_assignment.gate_assignment_id,,,transactional_data,"Foreign key linking to airport.gate_assignment. Business justification: deicing_event occurs at a specific location, often at the gate or a deicing pad. Currently stores deicing_location_identifier (STRING). FK to gate_assignment provides precise location, time window, an",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,occurrence_id,occurrence_id,Occurrence Id (Foreign Key),BIGINT,,safety.occurrence.occurrence_id,,,transactional_data,"Foreign key linking to safety.occurrence. Business justification: Deicing operations have inherent safety risks (fluid exposure, equipment incidents, slip hazards). Direct occurrence link consolidates safety reporting alongside existing occurrence_report_id FK for c",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,station_id,station_id,Station Id (Foreign Key),BIGINT,,airport.station.station_id,,,transactional_data,"Foreign key linking to airport.station. Business justification: De-icing events occur at specific airport stations. The deicing_event table currently has airport_code as a STRING denormalized attribute, but no FK to station. Adding station_id normalizes this relat",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,supervisor_employee_id,supervisor_employee_id,Supervisor Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,"Foreign key linking to workforce.employee. Business justification: Deicing operations require certified workforce supervision for safety compliance, fluid application oversight, and holdover time validation. Regulatory requirement for accountable supervisor beyond cr",Internal - LLM Generated Cross-Domain Link
airport,equipment_services,deicing_event,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,transactional_data,The date and time when this de-icing event record was first created in the system. Audit trail for data lineage.,Internal Data Governance Standards
airport,equipment_services,deicing_event,currency_code,currency_code,Currency Code,STRING,,,,^[A-Z]{3}$,transactional_data,"Three-letter ISO 4217 currency code for all monetary amounts in this record (e.g., USD, EUR, CAD).",ISO 4217 Currency Codes
airport,equipment_services,deicing_event,deicing_location_type,deicing_location_type,De-icing Location Type,STRING,,,,pad|gate|remote_stand|runway_holding_area,transactional_data,"The type of location where de-icing was performed: dedicated de-icing pad, gate position, remote stand, or runway holding area.",Airport Ground Operations Standards
airport,equipment_services,deicing_event,deicing_vendor_code,deicing_vendor_code,De-icing Vendor Code,STRING,,,,,transactional_data,Code identifying the third-party vendor or ground handling company that performed the de-icing service. Used for billing and performance tracking.,IATA Ground Handling Agreement Standards
airport,equipment_services,deicing_event,environmental_reporting_flag,environmental_reporting_flag,Environmental Reporting Flag,BOOLEAN,,,,,transactional_data,"Indicates whether this de-icing event must be included in environmental compliance reporting (CORSIA, ISO 14001). True if glycol usage exceeds reporting thresholds.","CORSIA Carbon Offsetting and Reduction Scheme, ISO 14001"
airport,equipment_services,deicing_event,equipment_identifier,equipment_identifier,Equipment Identifier,STRING,,,,,transactional_data,Identifier for the specific de-icing truck or equipment unit used. Enables equipment maintenance correlation and utilization tracking.,Airport Ground Support Equipment (GSE) Standards
airport,equipment_services,deicing_event,flight_number,flight_number,Flight Number,STRING,,,,"^[A-Z0-9]{2,3}[0-9]{1,4}[A-Z]?$",transactional_data,"The airline flight number for the flight being de-iced (e.g., AA1234). Includes carrier code and flight number.",IATA Flight Designator Standard
airport,equipment_services,deicing_event,fluid_concentration_primary_percent,fluid_concentration_primary_percent,Primary Fluid Concentration (Percent),"DECIMAL(5,2)",,,,,transactional_data,Concentration percentage of the primary de-icing fluid mixture (glycol to water ratio). Affects freezing point and holdover time.,SAE AMS1424 and AMS1428 De-icing Fluid Standards
